"score1","score2","score3","score4","score5","score6"
"0.173","0","0.0","0.0","0.2727","1.0"
"0.2228","0.125","0.0","0.0","0.0909","1.0"
"0.5143","0.5714","1.0","0.5","0.2727","1.0"
"0.2831","0.25","0.0","0.0","0.3636","1.0"
"0.697","0","1.0","0.5","0.3182","1.0"
"0.4604","0.1667","1.0","0.0","0.2727","0.0"
"0.1995","0","0.0","0.0","0.1364","1.0"
"0.6223","0","1.0","0.0","0.8182","1.0"
"1","0","0.0","0.0","1","1.0"
"0.597","0","1.0","0.0","0.1818","1.0"
"0.7138","0","1.0","0.0","0.2727","1.0"
"0.2002","0","0.0","0.0","0.4091","1.0"
"0.4094","0.2222","0.0","0.0","0.0909","1.0"
"0.4323","0.5455","1.0","0.0","0.1818","1.0"
"0.6274","0.2","1.0","0.0","0.0909","0.0"
"0.3514","0.1111","0.0","0.0","0.0455","1.0"
"0.3239","0.1111","0.0","0.0","0.0455","1.0"
"0.5531","0","1.0","0.0","0.5909","1.0"
"0.7598","0","1.0","0.0","0.2727","1.0"
"0.3419","0","0.0","0.0","0.1364","1.0"
"0.4277","0","0.0","0.5","0.4091","1.0"
"0.2534","0","0.0","0.0","0","1.0"
"0.2298","0","0.0","0.0","0","0.0"
"0.1088","0","0.0","0.0","0.0455","0.0"
"0.4223","0","1.0","0.5","0.1818","1.0"
"0.7632","0","1.0","1.0","0.8636","1.0"
"0.276","0","0.0","0.5","0.1364","1.0"
"0.574","0.1176","1.0","0.0","0.0909","0.0"
"0.2095","0","0.0","0.0","0.1364","1.0"
"0.2175","0","0.0","0.0","0.3636","1.0"
"0.2601","0.1111","0.0","0.0","0.0455","1.0"
"0.1796","0","0.0","0.0","0","0.0"
"0.1929","0","0.0","0.0","0.0909","0.0"
"0.7351","0.375","1.0","0.0","0.2273","1.0"
"0.6635","0","1.0","0.0","0.5909","1.0"
